"","leima","kirjatlaani","kansallisuus","perheen_toimeentulo","sukupuoli","siviilisaaty"
"23650","0000000000116599","Kuopion lääni","","Ei tietoa","Mies","Naimisissa"
"23651","00000000000D8EFB","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23652","00000000000D7384","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23653","00000000000D71FB","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23654","000000000009F817","Oulun lääni","","Ei tietoa","Mies","Naimisissa"
"23655","00000000001117AE","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23656","00000000000F1920","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23657","00000000000BE506","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23658","000000000009EABA","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23659","00000000000D7684","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23660","00000000000F1862","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23661","00000001002C3942","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23662","0000000000086DBD","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23663","00000001002C3948","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23664","00000000000CD298","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23665","00000001002C394F","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23666","00000000000C7E44","Kuopion lääni","","Ei tietoa","Mies","Naimisissa"
"23667","00000001002C3955","Oulun lääni","","Ei tietoa","Mies","Naimisissa"
"23668","00000000000A673C","Kuopion lääni","","Ei tietoa","Mies","Naimisissa"
"23669","00000000000CA71D","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23670","00000000000F3905","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23671","00000000000B2F20","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23672","0000000000081CAB","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23673","0000000000128BE6","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23674","00000000000E46B6","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23675","000000000010DDDB","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23676","00000000000B6B32","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23677","00000000000E2FB0","Oulun lääni","","Ei tietoa","Mies","Naimisissa"
"23678","00000000000CC7E0","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23679","0000000000033BA6","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23680","00000000000AC950","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23681","00000000000D4E54","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23682","00000000000E1B0F","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23683","000000000009FBCE","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23684","000000000011BEDD","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23685","00000000000BAD12","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23686","00000000000B643B","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23687","0000000000031DE3","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23688","00000000000B4DF1","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23689","00000000001504C1","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23690","00000000000D9548","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23691","00000000000E3FB2","Oulun lääni","","Ei tietoa","Mies","Naimaton"
